صورة	صوره،الصورة،الصور،صور،الصورة،والصورة،للصورة،وصورة،وصوره،بالصورة،بالصوره،للصوره
الزوجة	الزوجة، الزوج، الزوجه، زوج، زوجة، زوجته، زوجاته، ازواجه، أزواج ، أزواجه، الازواج، الأزواج، الزوجات، والزوجه، والزوجة، والزوجات، والزوج، تجوز، تجوزت، متجوز، متزوجه، متزوجة
الزوج	الزوجة، الزوج، الزوجه، زوج، زوجة، زوجته، زوجاته، ازواجه، أزواج ، أزواجه، الازواج، الأزواج، الزوجات، والزوجه، والزوجة، والزوجات، والزوج، تجوز، تجوزت، متجوز، متزوجه، متزوجة
عدد الأولاد	عدد الأولاد، كم ولد، عدد الاولاد، تعداد الأولاد، تعداد الاولاد، عدد البنات، تعداد البنات، كم بنت، sfالأولاد، وعدد البنات، وعدد الاولاد
الطول	طول، الطول، كم طوله، طوله، طولها، والطول، يبلغ طوله، يبلغ طولها، كم متر
الشريك	الشريك، والشريك، والشريكة، والشركاء، الشركاء، شريك، شركاء، وشركاء، وشريك، شريكة، شريكه، والشريكة، والشريكه، وشريكه، وشريكة
اللغة الأم	اللغة الأم، اللغة الام، واللغة الام، واللغة الأم، واللغه الام، اللغه الام، اللغة الأم، لغته الأم، لغتها الأم، لغتة الام، لغته الأم، لغتها الأم، لغتة، لغته، ولغته، ولغتة، ولغتها، لغتها
أخوة وأخوات	أخوة، اخ، اخت، أخ، أخت، وأخ، وأخت، والأخ، الأخ، الأخت، والأخت، والاخت، والخوات، خوات، الخوات، الأخوة، الخوات،اخته، أخته، واخته، وأخته، واخيها، اخيها ، أخيها ، وأخيها
الأدوار المهمة	الأدوار المهمة، الأدوار، أدوار مهمة، أدوار مهمه، وأدوار مهمه، ادوار مهمة، وادوار مهمة، ادوار مهمه، وادوار مهمة، والأدوار المهمه، والأدوار المهمة، دور مهم، دور، ودور ، أدوار ، وأدوار، ادوار، وادوار
مكان الدفن	موقع الدفن ، مكان الدفن، اماكن الدفن، أماكن الدفن، اماكن دفن، أماكن دفن، وأماكن الدفن، وأماكن دفن، موقع الدفن، ومواقع الدفن، منطقة الدفن، ومنطقة الدفن، مناطق الدفن، مناطق دفن، ومناطق الدفن
الأب	الوالد، الأب، الاب، والأب ، والاب، والوالد، أبوه، اباه، ابوه، أباه، وأبوه، وأباه، واباه، ووالده ، والده
الحزب	الحزب، والحزب، الاحزاب، الأحزاب، والأحزاب، حزبه، وحزبه، وحزبها، وأحزابه، واحزابه،محسوب على حزب
لون الشعر	لون الشعر، لون شعره، شعره، ألوان شعره، ولون شعره، وشعره
أعمال بارزة	أعمال بارزه، أعمال بارزة، وأعمال بارزة، وأعمال بارزة، وأعمال بارزه، اعمال بارزه، اعمال بارزة، واعمال بارزة، عمل بارز، وعمل بارز
المعارك والحروب	المعارك، والمعارك، معركة، ومعركة، معركه، ومعركه، الحروب، والحروب، والحرب، الحرب، حرب، وحرب، المعركة، والمعركة، المعركه، والمعركه
الديانة	الديانة، والديانة، الديانه، والديانه، ديانه، ديانة، وديانة، وديانه، الدين، دين، والدين، دينه، ودينة، ودين، ديانته، ديانتة، وديانته، وديانتها، ديانتها، وديانته
أسماء أخرى	أسماء أخرى، اسماء اخرى، أسماء اخرى، واسماء اخرى، وأسماء أخرى، واسم اخر، اسم أخر، واسم أخر، أسم أخر وأسم اخر، وأسم أخر
الأم	الأم، أمه، أمها، الام، والام، والأم، ام، أم، وأمه، وأمها، امه، وامه، امها، وامها، والدته، والدتها ، والدتة، ووالدته، ووالدتها، الوالدة، والدة، والده، ووالدة ، ووالده
تخصص أكاديمي	تخصص أكاديمي، تخصص اكاديمي، تخصصه الأكاديمي ، تخصصها الاكاديمي، تخصصها الأكاديمي، تخصصه الاكاديمي، وتخصص الاكاديمي، والتخصص الأكاديمي، والتخصص الاكاديمي، تخصصات اكاديمية، والتخصصات الأكاديمية، والتخصصات الأكاديميه، والتخصصات الاكاديميه، والتخصصات الاكاديمية
الرياضة	رياضة، والرياضة، الرياضة، رياضه،والرياضه، ورياضة،ورياضه 
موظف في	موظف، متوظف، متوظفة، متوظفه، وموظف، وموظفة،وموظفه، الموظف، الموظفة، والموظفة، والموظفه، والموظف
والدان	والدان، ابويه، أبويه، ابويها، أبويها، والديه، والديها، أبويها، ابويه، ووالدان ووالداه ، والداه، ووالديه، وابويه، وأبويه، وأبويها، وابويها، ووالديه، ووالديها
مجال العمل	مجال العمل، نطاق العمل، ومجال العمل، ومجال عملها، ومجال عمله، مجال عملها، مجال عمله، ونظاق العمل
التعلّم	التعلّم، والتعلم، التعلم، تعلم، وتعلم، التعلّم ، والتعلّم
الفرع	الفرع، والفرع، فرع، وفرع، فرعها، وفرعها، فرعه، وفرعه، أفرع، افرع، وأفرع، وأفرعه، وأفرعها، أفرعه، أفرعها، افرعه، وافرعه، وافرعها، افرعها
مشكلة صحية	مشكلة صحية، مشاكل صحية، المشكلة الصحيه، المشكله الصحية، مشكله صحية، مشكله صحيه، المشكله الصحية ، المشكلة الصحية، والمشكلة الصحية، والمشاكل الصحية، والمشكلة الصحيه، والمشكله الصحية، والمشكلة الصحية، والمشكله الصحيه، ومشكلتها الصحية، ومشكلتها الصحيه، ومشكلته الصحية ، مشكلته الصحيه، ومشكلته الصحيه، مشكلته الصحيه، مشكلتها الصحية، مشكلتها الصحيه
الوزن	الوزن، أوزان، اوزان، وزن، وزنه، وزنها، ووزنه ، ووزنها، وزن، ووزن، الأوزان، الازوان، واوزان، وأوزان
عضو في	عضو في، وعضو في، عضوة في، وعضوة في، عضوه في، وعضوه في، عضويتها في، عضويته في، وعضويتها في، وعضويته في، عضويه، عضويتها، وعضويتها، وعضويته
بلد الرياضة	بلد الرياضة، وبلد الرياضه، وبلد الرياضة، بلد الرياضه
شهادة جامعية	شهادة جامعية، شهاده جامعيه، وشهادة جامعية ، وشهاده جامعيه، وشهادته الجامعية، وشهادته الجامعيه، شهادته الجامعيه، شهادته الجامعية، شهادتها الجامعيه، شهادتها الجامعية،الشهادة الجامعية ، الشهاده الجامعية، والشهاده الجامعية، والشهادة الجامعيه
تاريخ الميلاد	الميلاد،توليد،ميلاد،مولد،متى ولد، متى ولدت، ولدت، ولادت، تاريخ الميلاد، وتاريخ الميلاد، متى ولد، متى ولدت، ولادتها، ولادته، وولادتها، وولادته
موظفة في	موظف، متوظف، متوظفة، متوظفه، وموظف، وموظفة،وموظفه، الموظف، الموظفة، والموظفة، والموظفه، والموظف
تأثر بـ	تأثر، يتأثر، تتأثر، وتأثر، وتأثرت، وتتأثر، ويتأثر، تأثرت، مؤثر
تاريخ الوفاة	متى توفي، متى توفيت، توفي، توفيت، الوفاه، الوفاة، وفاة، وفاه، مات، ماتت، والوفاه، والوفاة، ووفاة، ووفاه، تاريخ الوفاه، تاريخ الوفاة، تاريخ وفاه، تاريخ وفاة
عضوة في	عضو في، وعضو في، عضوة في، وعضوة في، عضوه في، وعضوه في، عضويتها في، عضويته في، وعضويتها في، وعضويته في، عضويه، عضويتها، وعضويتها، وعضويته
أقرباء	 أقرباء، وأقرباء، اقرباء، واقرباء، قريب، قرابه، قرابة، والقريب، القريب، وقريب، والقرابة، والقرابه، الاقرباء، الأقرباء، والاقرباء، والأقرباء، وقريبته، قريبته، قريبها، وقريبها، الأقارب، والأقارب، الاقارب، والاقارب
العرق	العرق، والعرق، الأعراق، والأعراق، والاعراق، الاعراق
الثروة	المال، مال، والمال، ومال، الثروة، الثراء، والثراء، والثروة، والثروات، ثروات، ثراء، ثروتها، وثروتها، وثروته،ثروته، ثروتة،وثروتة،ثروة
التهم	التهم، إتهامات، تهم، والتهم، والإتهامات، وتهم، والاتهامات، اتهامات، يتهم، تتهم، متهم، المتهم، المتهمة، متهمة، والمتهمة، والمتهم، متهمه، المتهمه ، والمتهمه، ومتهمه، تهمته، وتهمته، وتهمتها، تهمة، التهمة، الجرم، والتهمة، وتهمه، التهمه، والتهمه، وتهمته، الجريمة، الجرائم، والجرائم، والجريمة، والجرم، مجرم، مجرمه، مجرمة، ومجرم، ومجرمة، ومجرمه، والمجرمه، والمجرم، والمجرمه، والمجرمة
الرتبة	الرتبة، والرتبه، والرتبة، الرتبه، رتبه، رتبة، ورتبه، ورتبة، الرتب، رتبتها، ورتبته، ورتبتها، رتبته
تعلم لدى	تعلم لدى، وتعلم لدى، تعلمت لدى، وتعلمت لدى، تعلم لديه، تعلم، تعلمت، تعلمت لديه، وتعلمت لديه ، وتعلم لديه
استعمال اليد	استعمال اليد، استعملت يدها، واستعمال اليد، واستعملت يدها، استعمل يده، استعملت يدها، واستعمل يده، واستعملت يدها، استعمل يديه، استعملت يديها، واستعمل يديه، واستعملت يديها، استعمل يداه، واستعمل يداه وأستعمل اليد، واستعمال اليد، أستعمال اليد، أستعملت اليد
التيار	التيار، والتيار، الحزب، والحزب، الاحزاب، الأحزاب، والأحزاب، حزبه، وحزبه، وحزبها، وأحزابه، واحزابه،محسوب على حزب، محسوب على تيار
مكان الميلاد	الميلاد،توليد،ميلاد،مولد،متى ولد، متى ولدت، ولدت، ولادت، ولادتها، ولادته، وولادتها، وولادته، مكان الميلاد، مكان الولادة ، ومكان ميلادها ، ومكان ميلاده، مكان ميلاده، مكان ميلادها، منطقة ميلاده، منطقة ميلادها، ومنطقة ميلاده، ومنطقة ميلادها
وكيل الأعمال	وكيل الأعمال، وكيل أعماله، وكيل أعمالها، وكلاء الأعمال، وكلاء اعماله، وكلاء أعماله، وكلاء أعمالها، ووكلاء أعمالها، ووكيل عمله، ووكيل عملها، ووكيل أعماله، ووكيل اعماله
الدائرة الإنتخابية	الدائرة الإنتخابية، الإنتخابات، ينتخب ، تنتخب ، وتنتخب ، وينتخب، إتخابات، وانتخابات، الانتخابات، الدائرة الانتخابيه، الدائرة الإنتخابية، الدائرة الانتخابية، الدائره الإنتخابية، الدائره الانتخابية، والدائرة الانتخابيه، والدائره الانتخابية، والدائرة الإنتخابية، والدائرة الإنتخابيه
أخت	أخت، خوات، الاخت، الأخت، والاخت، والأخت، الخوات، اختها، اخته، واخته، واختها، وأخته، أخته، أختها، وأختها، والأخوات، وخواته، وخواتها، خواته، خواتها
التلامذة المشهورون	التلامذة المشهورن، التلامذة المشهورين، والتلامذة، التلميذ المشهور، التلميذة ، والتلميذة ، والتلميذ، التلميذ، تلامذة
تأثرت بـ	تأثر، يتأثر، تتأثر، وتأثر، وتأثرت، وتتأثر، ويتأثر، تأثرت، مؤثر
فترة برلمانية	فترة برلمانية، فترات برلمانية، برلمان، والفترة البرلمانية، والفتره البرلمانيه، والفترة البرلمانيه، والفتره البرلمانية، الفترات البرلمانية، والفترات البرلمانية، والفترات البرلمانيه
أخ	اخ، اخيه، اخيها، أخيها، أخيه، وأخيه، وأخيها، وأخ، أخ، واخ، واخيها، واخيه، اخوة، أخوة، وأخوه، واخوته، وأخوته، وأخوتها، واخواتها، اخوتها، أخواتها، اخوته، أخوته
الآلات الموسيقية	الآلات الموسيقية، يعزف، تعزف ، والآلات الموسيقية، والآلات الموسيقيه، الآلات الموسيقيه، ويعزف، وتعزف، آله موسيقية، آله موسيقيه، وآله موسيقية، وآله موسيقيه، عزف، آلات مميزة، آلات مميزه، وآلات مميزة، وآلات مميزه
المدونة الرسمية	المدونة الرسمية، والمدونة الرسمية، المدونة الرسميه، والمدونة الرسميه، المدونه الرسمية، والمدونه الرسمية،مدونته، ومدونته، مدونتها، ومدونتها
النوع	النوع، والنوع، ونوع، نوعها، نوعه، ونوعه، ونوعها
تعلمت لدى	تعلم لدى، وتعلم لدى، تعلمت لدى، وتعلمت لدى، تعلم لديه، تعلم، تعلمت، تعلمت لديه، وتعلمت لديه ، وتعلم لديه
نشأت في	نشأت في، ونشأت في، نشأ في، ونشأ في، نشأ، نشأت، ونشأت، ونشأ
أثر في	تأثر، يتأثر، تتأثر، وتأثر، وتأثرت، وتتأثر، ويتأثر، تأثرت، مؤثر
انتخب في	الدائرة الإنتخابية، الإنتخابات، ينتخب ، تنتخب ، وتنتخب ، وينتخب، إتخابات، وانتخابات، الانتخابات، الدائرة الانتخابيه، الدائرة الإنتخابية، الدائرة الانتخابية، الدائره الإنتخابية، الدائره الانتخابية، والدائرة الانتخابيه، والدائره الانتخابية، والدائرة الإنتخابية، والدائرة الإنتخابيه، انتخب في، انتخب، انتخبت، إنتخب، إنتخبت
نشأ في	نشأت في، ونشأت في، نشأ في، ونشأ في، نشأ، نشأت، ونشأت، ونشأ
الولاء	الولاء، والولاء، ولائه، ولائها، وولائه، وولائها، ولاء
شركة الإنتاج	شركة الإنتاج، وشركة الإنتاج، شركات الإنتاج، وشركات الإنتاج، شركة الانتاج، وشركة الانتاج، وشركات الانتاج، شركات الانتاج
اللقب	لقبه، لقبها، ولقبه، ولقبها، اللقب، واللقب، الألقاب، والالقاب، الالقاب، والالقاب، يلقب، تلقب، ويلقب، وتلقب
مكان الاعتقال	موقع الاعتقال ، مكان الاعتقال، اماكن الاعتقال، أماكن الاعتقال، اماكن الاعتقال، أماكن الاعتقال، وأماكن الاعتقال، وأماكن الاعتقال، موقع الاعتقال، ومواقع الاعتقال، منطقة الاعتقال، ومنطقة الاعتقال، مناطق الاعتقال، مناطق الاعتقال، ومناطق الاعتقال،موقع الاعتقال ، مكان الاعتقال، اماكن الاعتقال، أماكن الاعتقال، اماكن الاعتقال، أماكن الاعتقال، وأماكن الاعتقال، وأماكن الاعتقال
نوع الصوت	نوع الصوت، ونوع الصوت، ونوع صوتها ، نوع صوته، نوع صوتها، ونوع صوته
الاسم المستعار	أسماء أخرى، اسماء اخرى، أسماء اخرى، واسماء اخرى، وأسماء أخرى، واسم اخر، اسم أخر، واسم أخر، أسم أخر وأسم اخر، وأسم أخر
الاسم عند الميلاد	أسماء أخرى، اسماء اخرى، أسماء اخرى، واسماء اخرى، وأسماء أخرى، واسم اخر، اسم أخر، واسم أخر، أسم أخر وأسم اخر، وأسم أخر، اسم الميلاد، الاسم عند الميلاد
الجنس	الجنس، جنسه، جنسها، وجنسه، وجنسها، جنس، والجنس
اللغات المحكية	اللغات المحكية، اللغات المحكيه، اللغات المكتوبة، اللغات المكتوبة،اللغات، اللغات التي تتكلمها، اللغات التي يتكلمها، اللغة، اللغه، اللغة المحكيه، اللغة المحكية، اللغة المكتوبه،اللغة المكتوبة،اللغات، اللغة، لغة، لغه،لغة محكية، لغة محكيه، اللغة المقروئة، اللغة المقروئه
انتخبت في	الدائرة الإنتخابية، الإنتخابات، ينتخب ، تنتخب ، وتنتخب ، وينتخب، إتخابات، وانتخابات، الانتخابات، الدائرة الانتخابيه، الدائرة الإنتخابية، الدائرة الانتخابية، الدائره الإنتخابية، الدائره الانتخابية، والدائرة الانتخابيه، والدائره الانتخابية، والدائرة الإنتخابية، والدائرة الإنتخابيه، انتخب في، انتخب، انتخبت، إنتخب، إنتخبت
مشرف الدكتوراه	مشرف الدكتوراه، ومشرف الدكتوراه، مشرقة الدكتوراه، ومشرفة الدكتوراه
مكان الوفاة	موقع الوفاة ، مكان الوفاة، اماكن الوفاة، أماكن الوفاة، اماكن الوفاة، أماكن الوفاة، وأماكن الوفاة، وأماكن الوفاة، موقع الوفاة، ومواقع الوفاة، منطقة الوفاة، ومنطقة الوفاة، مناطق الوفاة، مناطق الوفاة، ومناطق الوفاة،موقع الوفاه ، مكان الوفاه، اماكن الوفاه، أماكن الوفاه، اماكن الوفاه، أماكن الوفاه، وأماكن الوفاه، وأماكن الوفاه، موقع الوفاه، ومواقع الوفاه، منطقة الوفاه، ومنطقة الوفاه، مناطق الوفاه، مناطق الوفاه، ومناطق الوفاه
آلات مميزة	الآلات الموسيقية، يعزف، تعزف ، والآلات الموسيقية، والآلات الموسيقيه، الآلات الموسيقيه، ويعزف، وتعزف، آله موسيقية، آله موسيقيه، وآله موسيقية، وآله موسيقيه، عزف، آلات مميزة، آلات مميزه، وآلات مميزة، وآلات مميزه
أثرت في	تأثر، يتأثر، تتأثر، وتأثر، وتأثرت، وتتأثر، ويتأثر، تأثرت، مؤثر
الأقارب	 أقرباء، وأقرباء، اقرباء، واقرباء، قريب، قرابه، قرابة، والقريب، القريب، وقريب، والقرابة، والقرابه، الاقرباء، الأقرباء، والاقرباء، والأقرباء، وقريبته، قريبته، قريبها، وقريبها، الأقارب، والأقارب، الاقارب، والاقارب
الزوج/الزوجة	الزوجة، الزوج، الزوجه، زوج، زوجة، زوجته، زوجاته، ازواجه، أزواج ، أزواجه، الازواج، الأزواج، الزوجات، والزوجه، والزوجة، والزوجات، والزوج، تجوز، تجوزت، متجوز، متزوجه، متزوجة
المحيط	المحيط، والمحيط، محيطه، محيطها، ومحيطه، ومحيطها
الوكالة	الوكالة، والوكالة، وكالة، ووكالة
رب العمل	رب العمل، ربة العمل، ورب العمل، وربة العمل
سبب الشهرة	سبب الشهرة، وسبب الشهرة، أسباب الشهرة، واسباب الشهرة، اسباب الشهرة، وأسباب الشهرة، سبب شهرتها، سبب شهرته، واسباب شهرته، واسباب شهرتها، أسباب شهرته، وأسباب شهرته، وأسباب شهرتها، وأسباب شهرته، أسباب الشهره، وأسباب الشهره، اسباب الشهره، واسباب الشهره
عائلة	العائلة، والعائلة، عائلة ، وعائلة ، وعائلته، وعائلتها، عائلته، عائلتها،أخوة، اخ، اخت، أخ، أخت، وأخ، وأخت، والأخ، الأخ، الأخت، والأخت، والاخت، والخوات، خوات، الخوات، الأخوة، الخوات،اخته، أخته، واخته، وأخته، واخيها، اخيها ، أخيها ، وأخيها
لون العيون	لون العيون، لون عيونها، لون عيونه، لون العين، ولون العيون، ولون عيونها، ولون عيونه، ولون العين
هانجا	هانجا
هانغل	هانغل
